nodename,timestamp,cpu_load,mem_load,power
comput2,2023-05-11 14:11:22,3.63,1.258,294
comput2,2023-05-11 14:12:39,3.61,1.2582,306
comput2,2023-05-11 14:14:08,3.58,1.2581,300
comput2,2023-05-11 14:14:22,3.6,1.2586,294
comput2,2023-05-11 14:14:40,3.6,1.2582,324
comput2,2023-05-11 14:14:58,3.63,1.2584,300
comput2,2023-05-11 14:15:16,3.63,1.2583,294
comput2,2023-05-11 14:15:32,3.6,1.258,318
comput2,2023-05-11 14:15:57,3.63,1.2579,312
comput2,2023-05-11 14:16:14,3.6,1.2579,318
comput2,2023-05-11 14:16:31,3.61,1.2579,306
comput2,2023-05-11 14:16:55,3.58,1.2584,318
comput2,2023-05-11 14:17:10,3.58,1.2578,312
comput2,2023-05-11 14:17:26,3.61,1.2577,294
comput2,2023-05-11 14:17:43,3.67,1.2571,306
comput2,2023-05-11 14:18:01,3.78,1.2576,312
comput2,2023-05-11 14:18:19,3.63,1.2575,318
comput2,2023-05-11 14:18:36,3.61,1.257,306
comput2,2023-05-11 14:18:58,3.56,1.2568,288
comput2,2023-05-11 14:19:13,3.58,1.2579,306
comput2,2023-05-11 14:19:29,3.56,1.2579,306
comput2,2023-05-11 14:19:44,3.6,1.257,306
comput2,2023-05-11 14:19:58,3.58,1.2572,318
comput2,2023-05-11 14:20:12,3.63,1.2572,318
comput2,2023-05-11 14:20:28,3.6,1.257,318
comput2,2023-05-11 14:20:45,3.58,1.257,318
comput2,2023-05-11 14:21:03,3.61,1.257,306
comput2,2023-05-11 14:21:24,3.6,1.257,312
comput2,2023-05-11 14:21:41,3.58,1.2569,318
comput2,2023-05-11 14:21:59,3.67,1.256,294
comput2,2023-05-11 14:22:16,3.61,1.2564,330
comput2,2023-05-11 14:22:30,3.63,1.2561,300
comput2,2023-05-11 14:22:45,3.6,1.256,312
comput2,2023-05-11 14:22:59,3.67,1.2567,306
comput2,2023-05-11 14:23:14,3.61,1.2573,324
comput2,2023-05-11 14:23:33,3.63,1.2571,318
comput2,2023-05-11 14:23:57,3.69,1.2567,300
comput2,2023-05-11 14:24:13,3.58,1.2574,312
comput2,2023-05-11 14:24:32,3.6,1.2571,306
comput2,2023-05-11 14:24:56,4.31,1.2588,312
comput2,2023-05-11 14:25:14,3.58,1.2574,312
comput2,2023-05-11 14:25:32,3.6,1.2567,318
comput2,2023-05-11 14:25:56,3.58,1.2566,294
comput2,2023-05-11 14:26:13,3.6,1.2563,300
comput2,2023-05-11 14:26:29,3.65,1.256,312
comput2,2023-05-11 14:26:44,3.6,1.2569,318
comput2,2023-05-11 14:27:00,3.85,1.2569,318
comput2,2023-05-11 14:27:15,3.58,1.2569,306
comput2,2023-05-11 14:27:34,4.74,1.2572,306
comput2,2023-05-11 14:28:35,99.91,9.231,618
comput2,2023-05-11 14:29:31,99.98,9.2519,678
comput2,2023-05-11 14:30:11,61.57,1.2921,612
comput2,2023-05-11 14:30:29,3.63,1.279,318
comput2,2023-05-11 14:30:57,3.61,1.2754,324
comput2,2023-05-11 14:31:16,3.6,1.2743,306
comput2,2023-05-11 14:31:31,3.6,1.273,324
comput2,2023-05-11 14:31:52,3.63,1.2724,330
comput2,2023-05-11 14:32:09,3.61,1.27,306
comput2,2023-05-11 14:32:25,3.6,1.2692,312
comput2,2023-05-11 14:32:39,3.68,1.2682,312
comput2,2023-05-11 14:32:57,3.65,1.2674,318
comput2,2023-05-11 14:33:15,3.61,1.266,312
comput2,2023-05-11 14:33:32,3.61,1.265,324
comput2,2023-05-11 14:33:54,3.65,1.265,324
comput2,2023-05-11 14:34:10,4.1,1.2663,312
comput2,2023-05-11 14:34:27,3.65,1.2656,312
comput2,2023-05-11 14:34:48,3.6,1.265,312
comput2,2023-05-11 14:35:03,3.72,1.2653,312
comput2,2023-05-11 14:35:18,3.61,1.264,318
comput2,2023-05-11 14:35:36,3.58,1.2645,312
comput2,2023-05-11 14:35:56,3.6,1.2645,312
comput2,2023-05-11 14:36:12,3.6,1.2636,318
comput2,2023-05-11 14:36:28,3.61,1.2631,324
comput2,2023-05-11 14:36:44,3.6,1.263,306
comput2,2023-05-11 14:37:04,3.72,1.2634,306
comput2,2023-05-11 14:37:21,3.6,1.2628,306
comput2,2023-05-11 14:37:35,3.63,1.2628,294
comput2,2023-05-11 14:37:55,3.6,1.2625,306
comput2,2023-05-11 14:38:13,3.6,1.2617,318
comput2,2023-05-11 14:38:29,3.7,1.2618,312
comput2,2023-05-11 14:38:45,3.58,1.2619,318
comput2,2023-05-11 14:38:58,3.6,1.261,312
comput2,2023-05-11 14:39:13,3.62,1.2614,312
comput2,2023-05-11 14:39:28,99.59,8.67,360
comput2,2023-05-11 14:40:32,99.98,8.6955,606
comput2,2023-05-11 14:41:13,99.93,8.7096,522
comput2,2023-05-11 14:41:29,3.64,1.2768,324
